Content,Answer
抄跑堅要挺下去呀！都漏跑到桃園了，都copy到台大了⋯⋯只差一步而已⋯⋯千萬別放棄！一定要選下去啊😆,1
到底要道歉什麼？？？ 笑死我了 民主在哪裡？,0
果然當政治變成一種信仰 就無法公正理性的判斷～這是真的為台灣好嗎？,0
哈哈哈哈哈 可見 民調都假的 雖然我本來就不信 這種人民調都可以贏柯文哲,1
官商勾結，偷工減料……,0
球員終結站,0
軌辨，上法院再說。,0
古往今來奸臣就只剩下一張嘴,1
簡是大安文山區議員喔，錯把議會當立法院了，不問市政問廢話！！！,0
林智堅不用選了，政治生命已經結束了！,0
止滑條貼在階梯腳，廁所門鎖裝反了，不知施工者有無頭腦？驗收者是瞎了？還是在溫柔鄉被迷惑了？,1
球迷還自費封測,0
民代而已⋯⋯當成自己是黨發言人一樣！,0
"花了300萬只為了請人把自已賣了,這不叫犯賤什麼才能叫犯賤🤣🤣🤣",1
高虹安如果真的很差！ 【民進黨】早就去打＞國民黨提名～何必，每日一打【高虹安】！,0
簡值厚臉皮，貝戈戈👎,1
廁所門 果然值12億元 因為沒12億 沒人會願意這樣装 大家不用偷拍了 直接現場觀看 果然值 12 億 拉,0
 @Driss c  有些YT網紅就被用社維法處置了,0
新竹市不能丟、、、是嗎？ 老百姓眼晴是雪亮的 不用轉移焦點丫 對民進黨來講這裡面有不少的黑幕跟弊案的、、、 桃園市政弊案會緊跟著白熱化、、、 就如同2018年高雄選戰韓國瑜勝出之後一年整個民進黨傾全力罷免韓國瑜就因為她陳菊二十年的髒手淘空市府的弊案 如出一轍、、、 是不是這樣？,0
他是正義人士,0
15:33 柯文哲也是選上才加入民眾黨的？！ ？！ 來賓知道自已在講什麼嘛？,0
總統的主張我一個都背不起來 我對不起這個社會,0
台灣的無良工程公司太多了，還笑大陸的爛尾樓多，有許多的工程標案，是得標者再下放二包，三包，或更多包，到施工時的包商為了要賺到錢，就只好.........，國家應更嚴格修整，建立公共工程品質監督責任制......,0
非常肯定，台灣有綠色共產黨啦 ～,1
我想知道...錢去哪裡，廠商是誰，監工是誰，市政府的監工是誰...有人對工程比較熟的，能說一下嗎,0
民進黨除了早期黨外時期的人士令人敬佩，現在的手法完完全全都是共產黨的作風， 國民黨部分親共人士的是在明，並不可怕。 可怕的是在暗的，特別是那天天兇狠在罵共產黨的， 愚民式的獲取政權，混入權利的核心，製造內部矛盾，再溫水煮青蛙的紅化台灣，這是過去共產黨標準手法。,1
民視三立也沒見檢討抄跑堅抄襲+沈慧虹的12e棒棒球場，自甘墮落當黨的打手,1
科學園區繼續蓋 改天大家一起斷電,0
 @Ryan Kakashiar  哇~~蒸蚌呢。。。 皿煮脂素世界排11名，現在在學老毛搞綠衛兵跟文革。😤😤 這一定有跟裁判賄賂。🤣🤣,1
建商的媳婦,0
壬鴻微自導自演啦！爛爛爛無底限👎👎👎👎🤮🤮🤮🤮,1
簡舒培是不是領乾薪不做事太久了，一出來即以做幹事來吸引目光。,1
臺灣人民就是笨蛋啊，不然高紅安怎麼會黨選，哈哈哈,1
這等級棒球場跟前瞻計畫有甚麼連結?中華民國的錢就這樣花嗎? 民主道德是否澈底崩毀，取決於綠色選民的覺醒，不再受意識形態的欺騙與被綁架。 現在的政治人物都因個人利益效忠政黨，為黨服務而不是為人民...選民真的要看遠一點，堅決不投 2 個執政過的爛黨，只要執政過還爛就永不給這政黨機會，這樣長期下來才會培養出對人民有利的民主政黨!,1
吳籽嘉仇恨質太高，見獵心喜，不配當評論員，太邪惡了。 你們不打沈慧虹，她會告你嗎？還說是被扯進來？顛倒講! 公正評論實事就好，何必當民眾黨的打手，還被柯文哲賣了，滿面豆花，太難看了!,1
高虹安加油！妳一定贏。,0
請新竹相關單位人員將工程經費明細跟廠商公佈,0
金玉其外敗絮其內~,0
真的是政壇不死鳥，在低潮的時候總有人來送分,0
啥爭議？ 論文學校也說沒問題 教授也不是中共人,0
希望小堅能繼續選下去，我想看看桃園市民的智商,1
高虹安是台灣史上第一人，當選市長就被關,1
四個魑魅魍魎😁😁😁,0
明知道台大出一個叫柯教授特別孬不敢說，還要怪人家說你中國同路人，妳本來就是阿，反正跟中國同路人都是選不上總統，朱立倫也放棄吧,1
公園堅是用公園理論修建球場？,1
吴谨言心蛮善良，很会考虑他人的感受。很棒~ youtubeei.com/watch?v=BWt4TFXNtf2 心凌組員都是很熟的老早就說好有機會就要組團的，不是搶，是熟人打鬧,0
對呀 追一下，想知道民進黨的余天為什麼打給時力的邱顯智要幫坤魚談事情,0
我膨風 我高傲 我看不起夜間部,1
要送貼封條的可樂 指定土城看守所專用,0
 @陳韋博  哈哈，不知道中文閱讀要到什麼程度才能把意思了解成這樣,0
民進黨狂打高虹安 關鍵時刻狂打陳時中,0
如果這不是草包 那什麼才是草包 😂😂😂,1
"哈哈哈,是千年難得一見",0
塔綠班要記住…92共識，一個中國…二個堅持,1
民眾黨政治路線 模糊不清 灰色地帶 總想檢便宜 不勞而獲的政客,1
昔有白賊義，今有膨風安。,1
基隆、桃園，民進黨選上有點難。台北、苗栗、宜蘭、新竹縣市。民進黨的候選人好像都選不上,0
悲觀~~~~ 司法不一定對付得了 白色力量。 法官會說 高虹安 有教化的可能，緩刑5年 不褫奪公權，市長繼續當。,0
還不是林智堅讓新竹改變的 你們整天在靠杯他三小,1
高虹安問題更多，看不到的可能也是被顏色蒙蔽，只是顏色不同而已,0
吳子嘉現在是 = 張淑娟要與周玉蔻法院見!,0
"撿輸賠在""起乩""嗎？ 塔綠班都這個等級嗎？ 誰選的？到底！",1
還是保潔演比較大比較好看😂,0
查？其實查的人也是既得利益者呀🤣，水很深的,0
很正常啊！ 連沒資本、沒經驗的小吃店都能變身醫療生技，還得標數億案子，拿台灣人命當個屁。 工程貪汙很正常，民進黨越來越有錢，不是貪來的是怎麼來的？,1
罷免簡議員,0
我支持柯先生，支持國民黨，支持92共識。不論中國如何，他不重，他是我兄弟。沒必要台獨。,0
難怪台北大巨蛋要蓋那麼久…看看新竹就知道…吃太快會撞破碗啊！….傻眼加笑翻…,1
沒水準的議員,1
她 真的能幫 民進黨政府！,0
寶傑拿紅衛兵來比喻太貼切了,1
老百姓的血汗錢！花起來不痛不養啊！花老百姓血汗錢，蓋個爛東西，跟中國大陸爛尾樓也沒兩樣吧！老百姓啊，自求多福啦，這是我們自己選出來的爛黨，就要自己承擔！,1
 @小姐 許  不只賠錢，董事長還要為了紅安坐牢啦，真有良心的男子漢耶🤣🤣🤣,1
吳董代誌大條了被提告刑法誹謗罪+選罷法（五年以下），19年吳指韓疑似有私生子，當時是韓市長身份，現在沈是候選人身份，兩者差異性就在於選罷法 ，在網路或是政論節目上講就算了，這次竟然跟高候選人在競選所在地同框，以不實內容演講方式企圖使人不當選，成案機會非常的高，以前吳董氣魄的說，林北沒在怕，這一次挫到了 ，連柯都趕緊澄清，,0
可悲的支持者!😭😵,1
因為新竹炒房炒最兇啊ＸＤ,0
踩到了玻璃心，很快碎滿一地！,1
柯建銘沈慧虹林智堅別再把新竹人當傻瓜了,0
其實你自己也差不多啦！,0
這不是什麼認同問題好吧 每個人都要對自己說的話負責任 當初丁丁講萊牛的時候 你各位可不是這樣幫丁丁說話的 事實就證明丁丁說的沒錯 是萊牛 今天是柯文哲先嗆說講廢話 說自己講一樣的話就被罵同路人 可是事實證明柯文哲就完全不敢講啊 公眾人物不用為自己失言道歉?扯啥小學生跟紅衛兵? 民主自由不代表你可以任意做出錯誤評價又不用負責好嗎?,1
我是個柯p就回他，菜音文了不起嗎,1
台灣民進黨脫胎于台灣共產黨是一點不錯的啦,1
我既不藍也不綠，但是我就是喜歡柯P有喜感，簡輸的很難看，一直鬼打牆？,0
 @林再發  照你的講法又要文革了，要你背是為你好啊，哈哈,1
是想讓球團解散吧！,0
為什麼這類節目只要是選舉議題就是找藍嘴、無籽痂這類護航民眾黨和國民黨？新竹落入紅色黨派中機密文件資料外洩會更高,1
 @小姐 許  因為妳和其他吳董都喜歡唬爛,0
"在台灣的政治人物，千得罪萬得罪，就是不能得罪名人，或國球及任何運動選手與觀眾，這新聞太大了，或許年底選舉全台灣將變成只有""一種顏色""的政黨，不信嗎~你可以耐心等著看!",0
原來你喜歡BB安喔～🤭,1
塔綠斑，先背得出4個煎匙再發言唷，啾咪~~,1
12億做出來的東西是這樣的棒球場，有嚴重缺失還可以驗收過關，檢調要查啦,0
這怎麼看都是弊案，人民的血汗錢欸.. 假如你家裝潢一開始說3萬5，後來一直增加到12萬，你不會覺得有問題嗎？然後做好後，地板沒用好，什麼都沒用好，廁所門還給妳裝反？？？ 最後廠商還跟你說，之後我負責！？？ 到底？？？我無言...大家用腦子想一想好嗎⋯⋯,0
反串要先講！！,0
民進黨有種發言人別換嘿!,0
 @陳韋博  那是檳榔王自己說的啊，你信仰不夠哦,1
其實... 廠商很專業 有偷工減料的歷史 經典重現棒球場,0
竹北才是蛋黃 高鐵都60 70萬了,0
你們有所不知，因為它在執行豬撲滿的命令，誰敢不聽就會好看。,1
 @彭培等著小旋  抗中保台 笑死😆,0
ㄢㄢ,0
支持公園市長，在台灣各地搭建棒球公園 Ballpark !,1
笑4要笑到斷氣嘿，要4不4的傷健保。,1
錢沾計畫就是唬爛些計畫來沾錢用的,1
你們只考上中華大學、不要羨慕我們高市長的高學歷、回去好好唸書考上台大吧,0
韓國瑜說民進黨也信仰 3民主義 不信的話你去查,0
者的天堂 youtubebu.com/watch?v=3qmsf8qYUEM 同馬不知臉長 ， 無恥之徒總是會掩蓋自己的無恥 ！,1
他們白營側翼的真面目越來越明顯。。。,0
高紅庵背後4個男人，可能真的有人能為她擺平司法人員喔！連帝穎律師都說不是絕對不可能。,1
簡舒培妳的市議員過頭了吧！市議會是諮詢市政的地方，不是搞政治抹黑的地方。試問：文山，大安區都沒有選民反應嗎？！如果沒有！表示文山 、大安區無市政問題，柯文哲在市政上沒問題。只因為在政治上不符合 貴黨的要求，所以要被批鬥嗎？！非常糟糕的發言人！,0
綠共本質╮(╯▽╰)╭,1
我家區域12年來新屋房價翻3倍，幾近無地可建，這還是南部，遑論科技新竹，美國地大，矽谷房價便宜嗎?,0
大家看清楚這張醜陋粗暴的嘴臉！,1
 @許白目  😂😂😂😂😂,0
狂妄,0
背不出來的應該送去塔綠班再教育營 每天宣讀蔡語錄,1
選舉要到了啦！她這麼做她的支持會才支持她,0
很扯的假面女！希望她能進土城大牢反省！,1
應該賺大了,0
華碩品質，堅如盤子,1
前助理都在民進黨民意代表內任職。,0
12億...，要封存了嗎？ 難道...啟用還要公投？ 太神奇了...？,0
你要學的是習近平思想，不是毛語錄,1
新竹財主多.利益多.暗盤更多~肥肥肥.見不得光更是多.換人當市長~哈哈好玩,0
我一向支持民進黨的，看到簡舒培這種質詢方式（手勢、氣勢），我覺得可以發起連署罷免她！一個小小的市議員有這麼了不起嗎？！,0
 @Duvet1231 Lin  你不要幫我加油添醋，我只是說二個非選不可我選吳，你要怎樣猜想跟我無關，我想表達的僅此而以，不要說一個影生一個小孩。不在做任何評論謝謝。,0
百年來難得有这樣的人才，民主教育成功?,0
到沖繩也不用多久,0
柯文哲應不會害吳董，想不到偉翰真是對吳董真誠，希望柯文哲和吳董不要互相誤會。尤其柯文哲是總統級千萬不要讓吳董被告。,0
這個塔綠黨掌權久了 一年年的腐敗 墮落,1
清廉不是說搭廉航可以漂白的。 就像雍正王朝時期百官穿補丁朝服一樣～,1
確診拉 沒內幕,0
女陳柏惟,0
一定要讓高虹安當選🎉,0
柯P就是一針見血簡單明瞭！這女的……跟刪Q說部長鴨霸像不像！,1
民進黨正在轉骨，轉骨成共產黨~~~,1
昌益建設跟老柯好的很，新竹手上的土地非常龐大。,0
難怪早就被民進黨看破手腳,0
台北天母8000萬就做的很好，沒有對比就沒有傷害,0
寶傑哪次不激動？,0
2021 居然能在台灣看到思想審查 厲害了民進黨 還是發言人兼議員呢,1
責任來我就扛！,0
新竹地宝,0
新竹南區最優質的議員田雅芳，唯一敢出來嗆小智讚的人,0
 @A  韓國瑜準備出發幫林耕仁助選掃街,0
阿伯，不要理這的無理，也無禮的……,0
又一個 唬爛小 的 馬戲台,1
五星級的政績、果然是不同凡響。👍,0
林智堅有2假1真 1.2假 論文假的.球場假的 2.1真 他心中只想選桃園是真實的,0
~喵 他還隱匿疫情耶 朕已通報媽祖他跟侯倆相好隱匿疫情~喵,0
"大陸就一定不會發生,因為誰會化12億去翻新一個爛球場,造一個新的都不用這麼貴,哈哈",0
還在驗收就找菜EE造勢，球員當試驗品，這就是塔綠班喜歡作秀的本質！,1
不用看論文是不是真假，蓋一個棒球場都可以蓋出一個爛東西出來，就算你的論文寫得再好，我也不相信你可以做多好。 12億 就這樣浪費掉，這樣亂蓋不如補助國小營養午餐。,0
堅持雙標 堅持養網軍 堅持造謠 堅持貪污,1
 @ytfuk didodo  都讓你自費封測了，不然要怎麼樣 ♥不爽搬去住對岸中國啊 ♥,0
我看她不只三大案在身喔！屁股都還沒坐熱，從風城到土城，創下了歷史第一人！,1
 @王邁克  我覺得鄭麗文跟簡舒培很像，請問兩人有何不妥？,0
實在很不懂...新竹發生了什麼??🤣🤣🤣🤣🤣,0
" @李威徹  民進黨的？豬血恒在場子問""新竹人要不要一起轟轟烈烈的打敗民進黨""，叫民進黨的場子？",1
女土匪還是回去鴻海當副總經理比較實在,1
高虹安被收押時要開設數個帳號去館長那刷小額斗內要求道歉，各位一起共襄盛舉阿！高舉司法正義卻力挺一個貪污犯？要你館長在視頻土下座認錯賠罪剛好而已啦！,0
" @習帝愛蔡皇  有關係呀!!! 全世界都還在等黃暐瀚找出票櫃最底下的憨粉票,他那會和憨粉沒關 XD ,你來這是要帶什麼風向? 故意忘了這事嗎? XD 你很憨粉喔!",1
請簡議員複誦:謙卑謙卑再謙卑 好像也是你家主子說過的話 看來他有先見之明,0
民進黨！好了不起啊……,0
高宏安加油,0
檳榔變黑棗了 ！ 能再如何漂 ？ 😁😁😁,1
柯痞8年執政台北市，這八年台北市人口外移人口數全台之冠，這8年台北市健設落後其他五都，台北市的福利也沒啦！,1
不鮮明怎麼會有信眾,0
真的夠誇張，果然是綠色執政品質🤔🤣,1
🤣🤣🤣🤣🤣,0
本人做為多年台灣隊的網路志願者，對2018、2020年時大陸網軍結合韓粉，他們的囂張氣焰與極盡各種各樣造謡抹黑手法，可以說各式各樣假消息、假照片影片滿天飛，事後或一段時日皆無一為真，雖日夜奮戰但深感綠營聲量單薄，依然印象深刻！ 希望綠營支持者千萬不能因一時失利而鬆懈，明年總統及立委選舉對台灣隊更是重要！可預料藍白的網軍必定會更為氾濫，假消息、刻意製造的謠言必定更多更氾濫。 因此衷心期望並邀請更多台灣隊支持者能主動積極加入這一認知作戰行列，尤其是要將主要目標放在中間淺綠淺藍及對政治不太關心、無興趣的人群上面，畢竟在同溫層不會增加票源但須鞏固捍衛己方言論陣地，也不須要與死硬派深藍、韓粉、柯粉、五毛等糾纏，他們的目的是想把綠方支持者的嘴巴封住！形成一種他們聲量高的假象，所以那只是浪費時間精力，也得不到任何效果！ 總之切莫不發聲而悶聲挨打，反而應反向操作多多在各社交媒体FB、Line、群組等加強留言、說明、澄清真象以阻止或消弱錯誤扭曲真象資訊的散播面積。 另外不要太在乎被紅藍白攻擊辱罵，基本上把他們當垃圾、餿水言論即可，本人提一反擊反駁方法供參考，當遭紅藍白攻擊、辱罵，就在本影片及其他影片留言區下，將貼文多幾倍奉還！,1
別換！小丑還是阿堅演最對味,1
民眾都以為自己是民主國家，可惜選上的以為自己皇帝一樣,0
這女人怎麼跟共產黨一模一樣啊！真難想像這發生在台灣耶,1
我不是棒球愛好者 但是我有去看開幕賽 這陣子，也看了幾個球評的說法，有些不專業反饋： 1.新竹棒球場事件反應的是整個台灣運動產業與場館經營的困境。目前台灣的運動的經濟規模可能還難以讓球團願意投資館場。中華職棒協同整個ecosystem建立從規劃到驗收的sop可以設為短期目標 2. 當我們在做競爭分析時要全面且是同一個檔次的比較才有意義，大聯盟或甲子園的經營模式與品質設為可以設為長期目標，但不需妄自菲薄 3. 在整個點交與驗收的流程中 味全，龍來，中華職棒聯盟，新竹市政府的角色與各自的權責都該被公平的審視與檢討是否執行到位，未來應該如何改善。為了政治的理由一昧的攻擊某一方對台灣運動環境的提升不會有實質上的幫助 4. 台灣的民眾應該學習用更健康的態度使用網路，以免自己被人利用。對於自己要轉傳的訊息，或是對人進行道德上的指控前，多方參考驗證資訊的正確性才是對自己負責任的行為，避免自己成為網路獵巫或是霸凌的幫凶。,0
我看到了什麼？綠衛兵嗎？,1
柯市長講台灣是個獨立自由的國家，簡七段說不要廢話，這樣還說檳榔嗎？有良心嗎？,1
大家快去看看勾惡，這次換臉修法，暝禁黨要掌握監控整個網路言論了，到時傳統媒體、網路媒體都沒有反對的聲音了,1
你知道，我知道，獨眼龍也知道,0
你中共同路人,1
"味全龍参與3次球場驗收，且己接管球場,二軍也己賽2場,正式賽時埸地出問題?味全龍疏失或故意的?",0
我也是背不起來，眠進洞執政，舉債令人民倒欠沒完沒了，領五倍卷也是倒欠,1
這節目本就在吹白蚵，膨風安，怎麼到現在你看不出來？,1
簡舒培私底不是這種人，問題就是遇危急危機時，才能看出人的本性阿 。,0
顏色對了，跟對人了，錢都不是問題，問題也不是問題了，台灣政治就是如此，呆丸加油了。,0
好恐怖唷！！！！重點是沒有經驗廠商蓋出來的成品..真是內行人才知道許多眉角...一旦失誤感覺都要重新蓋（特別那個大樓反光怎麼解決）？,0
綠衛兵來了嗎,1
Ms 簡妳以為妳是誰啊 ?下架她的傲慢態度與不恥,1
政治人物吃錢是很正常， 但你吃了錢 要把事情做好。 但吃了錢 事情沒做好 這真的很說不過去阿,0
讓台北荒廢8年.才是柯屁最大的成就 !,1
這品質要12E 然後又要選市長??????????,0
黑這種東西真的讓人感覺很爛 坐頭等艙你應該也能嘴吧,0
妖言惑眾,0
敗選等於未來執政被割一塊大腿肉,0
林志堅這麼優秀的8年執政實績 被打壓到退選 方濟中學的高虹安還自稱榜首 太離譜了！,0
7:04 呼~,0
天啊。。沒講沒比較都不知道。。這品質多花這麼多錢都是跑去哪了。。原本以為這種事只有在大陸某些地方才會發生。。,1
光是偷工減料就A了多少錢啊？！該去查清楚了吧⋯,0
河濱公園球場等級，不是幾十萬就可以搞定的嗎？🤣,0
苗栗鄉民期待“竹竹苗”合併升格，因為這是苗栗縣唯一可以改變&翻身的機會,0
吳大大 說的好 哈哈哈,0
寶傑開場好激動！😂,0
希望林不要退選，直到論文水落石出的那一天！,0
 @姜傑克  吳子嘉沒跟沈慧虹求證ok😂 不然你以為周玉蔻的事為何鬧那麼大，蔣萬安也不敢提告？😏,0
真的爛 好奇這驗收怎麼過的🤣,0
水很深,0
 @Dick Chen  ~喵 線蟲就樹白色滴 不用再漂~喵 😹😹😹,0
 @Wenkai Xiao  有的..請看新聞..所以你是馬雲的兒子?.難怪你打字看起來有殘體字的感覺..,1
我以為我在看抖音上面的大陸施工品質...原來是新竹球場啊!,1
大家要背蔡語錄了嗎？這就是綠色執政的鴨霸赤裸裸的現象！,1
本來以為選舉篇比較沒笑點，沒想到今天講得超爆笑，寶傑哥自己都偷笑 XD,0
提醒柯文哲 你最好快去了解什是教唆犯罪吧......否則.........,0
看看面相就覺得不是什麼好人，尤其是那雙眼睛，很像八點檔連續劇中的壞婆婆,1
相形之下柯P高尚多了,0
看這種事就像看任務分工而已也不覺得奇怪了 犧牲下面的部分形象達到拉低主要對手形象 擔任這種角色的反而可能會有戰功確保得到黨資源,0
新竹肥死了 民進黨不能丟 丟了新竹建商怎麼活 選舉經費怎麼來,0
歹年冬喔！,0
配音吵死人 。,0
阿伯，加油,0
 @Dylan吳德聖  可是新聞媒體很少看到 陳時中被罵得很兇很兇的新聞 好像也不好找到,0
冥近檔真的是對岸教出來的好徒弟！ 這招對岸在文化大革命時就用過了！,1
竹南不在新竹😂，苗栗國領土,0
塔綠班太囂張 ，簡舒賠給我跪下謝罪國人。,1
把蔡語錄一字一句給我背出來！,1
欠罷,0
不要誤會，新竹高虹安台北黃珊珊就是我認為台灣最好的選擇，我願意相信這兩個人是有理想不會被黑暗吞噬👍👍,0
罷免罷免,0
"這個女人真是有夠沒水準的, 台灣是快要有蔡語錄了嗎?",1
 @彭培等著小旋  什麼黨出來 什麼樣的人 😆,0
"""如果敢，就快說""，基本上就跟強迫沒兩樣了，只是換句話說而已。",0
 @Wenkai Xiao  嗯,0
智堅，民進黨因你而偉大， 笑死,1
罷免簡舒培啦⋯⋯,0
好家在他是民進黨籍。如若不是我看所有檢調單位。包括監察院都已經出動。好險好險。天佑至姦。新竹加油,1
高雄市之前有一個19億的市立圖書館耶,0
名副其實綠衛兵,1
民進黨現在還在搞文革鬥爭那一套 真的丟臉啦！,1
做可笑的小丑應該做到底吧🤣🤣🤣,1
台北市議會出現了「紅衛兵」,1
聽你在喇叭,1
果凍和宣總會不會拿大筆的錢去買通法官和檢察官呢？,0
罷免起來,0
假施工真詐財啦,0
誰教柯文哲平常表現的一副共fei同路人的模樣，簡議員在議會要求共fei同路人表態切割共fei，根本是不可能的事，這也顯示簡議員對共fei的了解還是有待加強。,1
哎！817選出來的好總統…..,0
很會做表面。寄生國會呢 北市府呢。見不得人走財團後門呢。手術刀結合西瓜刀呢。,1
那就這樣罷！,0
別忘了 大新竹在國防戰略與經濟之重要性！,0
支持罷免簡舒培 讓民意代表別囂張。,0
高雄市議員質詢韓國瑜不是更嚴重？,0
 @榮森曾  我只知道，能選出簡輸賠的絕對不是菁英！,1
越看越像女版鬼娃...,1
難，只要她肯收買綠衛兵，綠衛兵還是會挺她的。,1
最多只是對不起 台灣價值,0
