文本,正向情感比率,負向情感比率,情感分數
那 就 真的 是 中國 勝利 了,0.14285714285714285,0.0,1.7
戰狼 xdddddd,0.0,0.0,0.0
中國 的 老 招式 了 常常 用 別人 的 民主自由 來,0.0,0.0,0.0
惡意 攻擊 別人,0.0,0.6666666666666666,1.1
為 何不 告 她 打人,0.0,0.2,0.9750000000000001
英國 怕 了 中國 贏 了,0.16666666666666666,0.16666666666666666,2.1
支那 賤畜 真的 很 愛 到 民主自由 的 國 家 討,0.09090909090909091,0.0,1.7999999999999998
中國 必 成 最 大 贏 家,0.14285714285714285,0.0,1.55
廠廠,0.0,0.0,0.0
中國 的 民 主 就 是 在 別的 國 家 民 主,0.0,0.0,0.0
這 就 是 中國 式 的 民 主,0.0,0.0,0.0
支那 賤畜,0.0,0.0,0.0
怎麼 不 敢 在 祖國 土地 喊 自由 都 在 國 外,0.08333333333333333,0.0,1.4
有 中國 特色 的 民 主 快 笑死,0.25,0.0,2.25
港人 當年 選擇 回歸 時 屌 的 很 把 台巴子 踩 在 腳,0.0,0.0,0.0
到 國 外 引戰,0.0,0.0,0.0
中國 批評 英國 沒 民 主 哈哈,0.14285714285714285,0.14285714285714285,1.95
下 現 在 只 能 說 活該,0.0,0.0,0.0
香 港人 的確 活該 當初 也 拿 港 英 統治 自傲,0.18181818181818182,0.0,2.1
中國 中國 沒 標榜 有 言論 自由 才能 亂 搞,0.2,0.1,3.4499999999999997
英國 也 很 孬 啊 呵呵,0.16666666666666666,0.0,1.25
國際 笑話,0.5,0.0,1.2
看台 灣人 很 沒有,0.0,0.25,0.8500000000000001
戰狼 xdxdxd,0.0,0.0,0.0
幹 真 他媽的 好笑,0.25,0.5,1.4
英國 果 然 孬種,0.0,0.0,0.0
真 希望 全 世 界 好 好 打壓 中國,0.3333333333333333,0.1111111111111111,4.95
英國 沒有 民 主 我 是 中國 記 者 馬上 釋放,0.0,0.09090909090909091,0.8500000000000001
可悲 的 人民,0.0,0.3333333333333333,0.4
打 你 都 沒 事,0.0,0.2,0.55
支那 水準,0.0,0.0,0.0
推 7樓 女 皇 都 要 哭 了,0.0,0.0,0.0
厲害 了 腦殘 國,0.25,0.0,1.575
在 英 爹 面 前 打打 香 港人 真是 痛快,0.1,0.0,1.35
支那人 的 文 明 程度 真的 落後 全 世 界,0.0,0.1,0.6
果 然 426 不懂 民 主 以為 民 主 是 做 什麼 都,0.0,0.0,0.0
幹 太 猛 了 無恥 沒 下限 啊,0.0,0.125,0.0
英國 中國 開戰 囉,0.0,0.0,0.0
港人 到現 在 對台 人 還是 不 友善 以前 是 瞧不起,0.09090909090909091,0.09090909090909091,1.95
支那 瘋子 太多,0.0,0.3333333333333333,0.725
支那 寶 xddddd,0.0,0.0,0.0
標 準 的 阿q 精神 勝利 法 xddd,0.125,0.0,1.7
現 在 是 忌妒 我 沒 人權 你 憑 什麼 有,0.0,0.09090909090909091,0.5
支那 狗 的 笑話 天 天 上演,0.14285714285714285,0.0,1.2
人權 自助 餐,0.3333333333333333,0.0,1.15
民 主 xd,0.0,0.0,0.0
一 個 沒有 言論 自由 的 國 家 到處 利用 別 國,0.08333333333333333,0.16666666666666666,3.2
支那 想 幹 嘛 就 幹 嘛 的 低能兒,0.1111111111111111,0.3333333333333333,1.4500000000000002
的 言論 自由 真的 很好 笑,0.3333333333333333,0.0,2.8499999999999996
釋放 不 是 正常 的 嗎 不然 要像 冰 冰 那樣 消失,0.08333333333333333,0.08333333333333333,1.95
支那人 每 天 都 在 鬧 笑話 xd,0.125,0.0,1.2
人 不要 臉 天下無敵 女 人種 族 加乘 中國 國籍 加,0.09090909090909091,0.09090909090909091,2.7
籠子 裡 的 鳥 覺得 自由 是 一 種 病 可憐,0.09090909090909091,0.09090909090909091,2.05
打人 被 抓 就 法治 阿 拿 民 主 說嘴,0.0,0.0,0.0
中國 只 有 得票 率 與 執 行 率 接近 100 的 政,0.0,0.0,0.0
策,0.0,0.0,0.0
支那 畜牲,0.0,0.0,0.0
柯粉 我們 都 是 中國 人,0.0,0.0,0.0
有 沒有 人 幫忙 翻 譯 央視 給 英國人 看看,0.1,0.1,2.2
這 是 好事,0.3333333333333333,0.0,1.4
世 界 奇觀 kina 真的 要 丟臉 丟到 全 世 界,0.0,0.09090909090909091,0.5
會 被判 刑 嗎,0.0,0.0,0.0
鬼國 啥 鬼事 都 有意 外 嗎,0.0,0.14285714285714285,0.8999999999999999
在 支那 應 該 已經 開 三 門 了 吧,0.0,0.0,0.0
去 電 梯 門 口 拉屎,0.0,0.0,0.0
中國 信黨 唯一 民 主 真主,0.0,0.0,0.0
自慰 成 英國 屈服 哈哈 哈,0.3333333333333333,0.3333333333333333,4.2
歐 豬 都 中 標,0.0,0.0,0.0
原 來 民 主 就 是 到 你 國 家 拉屎 你 也 不能 說 什麼,0.0,0.0625,0.75
孔琳琳 孔 家 後人 耶 象 徵 中國 的 禮 教 呢,0.08333333333333333,0.0,1.55
出 了 中國 民 主人 權 都 回來 了 呢 打人 巴 掌 還,0.0,0.0,0.0
支那人 說民 主 哇,0.25,0.0,1.25
可 說 是 履行 職務 厲害 了 你 的 國,0.2,0.0,2.625
幹 快 笑死,0.3333333333333333,0.3333333333333333,1.1
只 敢 在 別的 國 家 撒 野 的 支那人,0.0,0.0,0.0
肖 豬母,0.0,0.5,0.525
有 笑 不過 英國 不 是 中國 屬 地 嗎,0.1,0.0,1.45
看 吧 英國 實力 不 夠 所以 不 敢 大小 聲,0.0,0.0,0.0
喔 英國 好 像 沒死 刑 殘 念,0.125,0.0,1.45
難 怪 現 在 儒 派 的 一 出來 講點 什麼 就 被酸 爆,0.0,0.07142857142857142,0.6
世 界 蟑螂 垃圾 到 哪 都 是 垃圾,0.0,0.2222222222222222,0.6000000000000001
中國 螂 又 銀 了,0.0,0.0,0.0
鬧 繼 續 鬧 就怕 中共 人 不出 外 腦殘 鬧場,0.0,0.0,0.0
支那 不懂 什麼 是 言論 自由 言論 自由 不 是 當,0.18181818181818182,0.0,2.8
話 語 權 在 別 人身 上 時 大聲 叫囂 好 嗎,0.08333333333333333,0.16666666666666666,2.8499999999999996
支那 或 成 最 大 贏 家,0.14285714285714285,0.0,1.55
一樣 共產 極權 北韓人 好 像 沒 這樣 沒 品,0.1,0.0,1.45
我們 需要 牠們 繼 續 鬧 什麼 都 不用 做,0.0,0.0,0.0
這 國 家 的 人 真 是 瘋 了,0.0,0.1111111111111111,0.4
中國 人 到 底 有 什麼 毛病,0.0,0.14285714285714285,0.7
支那 賤畜 早該 死 絕,0.0,0.2,0.050000000000000044
這 國 家 只 相信 力量 不 講道 理 的,0.1,0.0,1.55
支那 日常,0.0,0.0,0.0
總 有種 遲 早 八 國聯 軍 再現 的 既視感,0.1,0.0,1.4
英 已 屈服 壓力,0.0,0.5,1.1
到處 在 別 國 地盤 上 撒 野,0.0,0.0,0.0
不 就 是 交 保 候 傳 講 得 這麼 厲害,0.09090909090909091,0.0,1.575
中國 人 又 調皮 了,0.0,0.0,1.0
英國 學 一下 瑞典 好 嗎,0.16666666666666666,0.0,1.45
夏 蟲 語 冰,0.0,0.0,0.0
放心 啦 過 一 陣子 她 就 會 移民 美國 了 xd,0.08333333333333333,0.0,1.3
在 中國 發生 這 女 的 早 就 被 關起 來 了 中國,0.0,0.0,0.0
談 民 主 就 是 好笑,0.16666666666666666,0.0,1.3
精神 錯亂,0.0,0.5,0.5
中國 人 又 在 世 界 到處 秀 下限 了,0.0,0.0,0.0
xdddd,0.0,0.0,0.0
反 正 是 為了 轉移 國內 焦點 的 一 齣 戲,0.09090909090909091,0.0,1.4
中國 人 真的 知道 民 主 的 定義 嗎,0.1111111111111111,0.0,1.1
還 有 五毛 在 這邊 搖 旗 吶喊 低能,0.0,0.1111111111111111,0.4
白痴 未 經 羈押 只 能 關 24 小時 是 普 世 法 制,0.0,0.07142857142857142,0.35
中國 霸權 要統 一 地 球 航向 宇宙 了,0.0,0.0,0.0
笑死 中國 水準 不意 外,0.2,0.0,1.1
只有 中國 想 關 多久 就 關 多久,0.125,0.0,1.05
這 跟 分裂 中國 有 屁 關係 啊 那 發 言人,0.0,0.09090909090909091,0.65
人 家 依法 治國 只有 中國 以為 是 屈服,0.0,0.1111111111111111,0.7
支那 賤畜 真不 要臉,0.0,0.0,0.0
言論 自由 我 看 了 什麼,0.16666666666666666,0.0,1.4
中國 人 蟑螂 人 中华 民族 蟑螂 民族,0.0,0.0,0.0
鬧場 打架 是 能 關 多久 支那 觀 xd,0.0,0.1111111111111111,0.4
有 愛國 同心 會 的 既視感,0.16666666666666666,0.0,1.45
支那人 真的 是 愛 自慰 到 極點 的 民族 欸,0.1,0.1,2.6999999999999997
精神 勝利 法,0.3333333333333333,0.0,1.7
這 讓 我 想到 以前 的 清朝 時期 民粹,0.0,0.0,0.0
你 是 活 過 清朝 時期 是 不 是 xd 還 民粹 勒,0.0,0.0,0.0
沒有 民 主 哪來 的 民粹 啦 xdddd 不要 瞎 七八 亂講,0.0,0.25,2.25
中國 這樣 鬧 可能 關到 死 所以 覺得 在 英,0.0,0.1,0.050000000000000044
國 24 小時 被 釋放 就 是 我 大 中國 的 淫 威,0.0,0.0,0.0
很 顯 然 他們 不知 道 言論 自由 是 什麼,0.1,0.1,2.3
可憐 跟台 灣 的 92 一樣 自小 受教 育 的 洗,0.0,0.09090909090909091,0.65
腦 把 國 家 和 專制 政權 的 絕對 統治 綁 在 一,0.07692307692307693,0.07692307692307693,2.7
或 許 她 本 身 出 了 什麼 事 藉 此 來 表 忠,0.07142857142857142,0.0,1.5
低能 中 狗 人,0.0,0.25,0.4
中國 人 只 敢 在外 國 講 民 主 xd,0.0,0.0,0.0
看成 乳琳琳,0.0,0.0,0.0
以前 很 封閉 的 時 候 世 界 各 國 都 對 中國 有 幻,0.06666666666666667,0.0,1.35
想,1.0,0.0,1.05
no no youhave noright 你 無權 逮捕,0.0,0.14285714285714285,0.75
起 視人權 與 民 主 為 畏 途 一 輩子 成 了 專,0.0,0.0,0.0
92 想回 中國 人 卻 在 別 國,0.0,0.0,0.0
中國 人 真的 不懂 民 主 和 自由 的 意 思,0.09090909090909091,0.09090909090909091,2.25
制 政黨 的 走狗 只 要有 人 主 張 人權 和 民 主,0.0,0.0,0.0
的 價 值 就 是 反中 或 漢奸 可憐 中國 人 看,0.0,0.08333333333333333,0.65
他們 懂 啊 就 是 他們 想 做 啥 就 做 啥,0.08333333333333333,0.0,1.05
說 全 世 界 最早 的 立 憲 議會 君 主 制 國 家 沒 民 主,0.0,0.0,0.0
不 透 這 點 就算 再 怎麼 充 實 經濟 與 軍武,0.0,0.0,0.0
中國 沒有 的 到 國 外 要,0.0,0.14285714285714285,0.8500000000000001
厲害 了 kina 國,0.25,0.0,1.575
實力 中國 也 永遠 不可 能成 為 真正 偉大,0.2222222222222222,0.1111111111111111,3.4000000000000004
的 可以 安居 樂業 的 國 家 當然 啦 憑 央視,0.09090909090909091,0.0,1.05
中國 人 在 談 民 主 wwwww wwwww wwwww wwwww,0.0,0.0,0.0
現 在 知道 後 都 只 覺得 幹你娘,0.125,0.0,1.1
記 者 的 地位 這 位 小 姐 也 不只 單純 是 威權,0.15384615384615385,0.0,2.45
說話 顛 三 倒 四 的 根本就是 來亂 一波 讓 共匪 藉,0.0,0.0,0.0
的 走狗 還是 共黨 專 政 制度 下 的 受益 階,0.09090909090909091,0.0,1.55
此 發 揮 中國 式 的 影 響 力 宣揚 中國 又 成 最 大 贏 家,0.058823529411764705,0.0,1.55
級 會用 力 當 走狗 也 不意 外 的,0.0,0.0,0.0
87 逆,0.0,0.0,0.0
leavemealong 別 碰 我 我 是 女 記 者,0.0,0.0,0.0
支那 沒有 民 主 反而 要 別人 一定 要 民 主 哈,0.08333333333333333,0.08333333333333333,2.05
這 樣說 也 沒 錯 因為 kina 從小 被 教 育 民 主,0.0,0.07692307692307693,0.5
以 中 華人 民 共和國 為 主 啊,0.0,0.0,0.0
xdddddddddddddddddddddddddd,0.0,0.0,0.0
習皇 帝 果 然 溜 大 顯 神 威 66666,0.0,0.0,0.0
這樣 算 桶 維 尼 一 刀 嗎 我們 將要 懷念 她,0.08333333333333333,0.0,1.25
討人厭 的 本領 w,0.0,0.25,0.09999999999999998
又 潑 辣 又 可愛,0.2,0.0,1.5
支那 論 英國 沒有 民 主 xddd,0.0,0.14285714285714285,0.8500000000000001
狼性 果 然 不 負 世 界 蝗蟲 之 名,0.0,0.0,0.0
見鬼 了,0.0,0.0,0.0
更好 笑 的 是 自己 沒有 民 主 還 嗆 人 家 英國,0.07692307692307693,0.07692307692307693,2.3
沒有 民 主 xd,0.0,0.25,0.8500000000000001
在 兇 幾 點 的 到 底 有 多 自卑 呀,0.0,0.18181818181818182,1.0
xdddddd,0.0,0.0,0.0
出國 了 才 想到 民 主 重要性 大概 只 有 中國 人,0.0,0.0,1.0
丟臉,0.0,1.0,0.5
支那 賤畜 被 八門 全 開 的 賤貨,0.0,0.125,0.19999999999999996
中國 人民 的 理解 真不 是 蓋 的,0.125,0.0,1.2
中國 永遠 不能 成為 有 制度 的 令 人 嚮往 的,0.18181818181818182,0.09090909090909091,3.1
國 家 是 可悲 把 他國 的 民 主 當作 中國 人,0.0,0.08333333333333333,0.4
要是 英國 沒有 民 主 這 記 者 早 被 種 了,0.0,0.08333333333333333,0.8500000000000001
胡作非為 的 盾 牌 是 可惡,0.0,0.3333333333333333,0.875
油 黑譨 賴,0.0,0.0,0.0
中國 人 講 民 主 講 言論 自由,0.125,0.0,1.4
英國 沒 民 主 的話 妳 大概 被 抓去 再 教 育 了,0.0,0.0,0.0
中國 狗 批評 別人 民 主,0.0,0.16666666666666666,0.55
低能 支那,0.0,0.5,0.4
支那 譴責 他國 言論 自由 真的 會 笑死 我 xdddd,0.2,0.1,3.0
看到 蘋果 截圖 牠們 的 言論 全 都 是 說 打得 好,0.08333333333333333,0.0,1.45
讓 英國 見識 中國 崛起 中國 人民 站 起來 了 這,0.0,0.0,0.0
多 舉 辦 的話 應 該 可以 讓 更多 失控 然後 給 他,0.0,0.07692307692307693,0.35
種 不知 道 是 認真 的 還 是 反串 的 好 可怕,0.16666666666666666,0.16666666666666666,4.449999999999999
抓起 來 哈哈,0.3333333333333333,0.0,1.4
愛國 無罪 闖 天 下,0.4,0.0,2.55
牠們 在 肉 搜 被 打 的 香 港 學生 說 他 港獨 漢奸,0.0,0.07142857142857142,0.55
瘋 了,0.0,0.5,0.4
中國 說 英國 沒有 民 主 笑死,0.14285714285714285,0.14285714285714285,1.9500000000000002
犯 我 中華 者 雖 遠必 誅,0.0,0.0,0.0
大陸 談 言論 自由,0.25,0.0,1.4
支那人 真的 很 愛 在 國 外 討 民 主,0.1,0.0,1.7999999999999998
支那 畜生 到處 鬧事,0.0,0.5,0.65
真是 沒 下限 完全 沒 羞恥 心 全 世 界 都 是 我,0.0,0.07692307692307693,0.4
中國 潑 撒 打滾 大便 的 地方 嗎,0.0,0.0,0.0
笑死 了 支那 賤畜 說 別人 沒有 民 主,0.1111111111111111,0.1111111111111111,1.9500000000000002
鬧到 英國 去 支那人 真不 怕 被 人 看 笑話,0.1,0.1,1.75
中國 人 懂 言論 自由 的 界 限 亂 來怪 罪 不自 由,0.07692307692307693,0.15384615384615385,2.55
屈服 咧 極權 國 家 最好 懂 甚 麼 叫 民 主 法治,0.07692307692307693,0.07692307692307693,2.15
看來 英國人 比 川普 更 了解 中國 人 香 港 牌 還,0.08333333333333333,0.0,1.15
夠 阿q 英國 又 不 是 中國 會 扣留 人 不放,0.0,0.09090909090909091,0.6
這 種 小案 件 根本 沒 羈押 的 必要,0.0,0.0,1.0
無恥 支那 無 下限,0.0,0.0,0.0
中國 人 也 懂 言論 自由,0.16666666666666666,0.0,1.4
厲害 了打 人國,0.3333333333333333,0.0,1.575
厲害 了 你 的 國人權 也 好意 思 拿來 嘴,0.2,0.1,3.725
真 擔心 台灣 同 業 會 淪 落 此 下場,0.0,0.1,0.6
中國 狗 到處 拉屎 還 要 別人 清真 噁,0.0,0.1111111111111111,0.35
中國 豬 說 人 沒 民 主 這 哪 個 平 行 世 界,0.0,0.0,0.0
現 在 共匪 要 塑造 中國 是 世 界 霸權 的 觀感 中國 人,0.0,0.0,0.0
在 海 外 鬧 就 是 中國 崛起 最 大 贏 家 被 海 外人 士 制,0.058823529411764705,0.0,1.55
有種 去 跟習 包子 抗議 不用 跟 我 說 這麼多,0.1,0.1,1.95
止 就 是 西方 白人 在 嫉妒 在 害怕 中國 的 實力 整,0.0,0.15384615384615385,1.15
個 就 是 以為 自己 可以 在 世 界 上 橫著 走 可惜 這 觀,0.0,0.06666666666666667,0.65
感 也 只 在 共匪 國內 靠 五毛 吹噓 才 建立 得 起來,0.0,0.07692307692307693,0.825
果 然 是 他鄉 遇 故 支,0.0,0.0,0.0
不過 吹噓 久 了 一般 民 眾 也 都 被 洗腦 膨 風 了 這,0.0,0.06666666666666667,0.825
中國 人 沒 便溺 已經 很 給 面子 了,0.0,0.0,0.0
蘋果 超好 笑 頁 面 最 底 下 還 整理 出 分 類 好,0.14285714285714285,0.0,2.9
的 系 列 報 導,0.0,0.0,0.0
種 鬧事 行 為 會 越來越 多 中國 會 越來越 厲害 了,0.08333333333333333,0.08333333333333333,2.05
中國 是 不 是 以為 他國 也 可以 隨便 無限 期 關,0.0,0.08333333333333333,0.8
汪 汪 汪 汪 汪 汪 汪 汪,0.0,0.0,0.0
支那人 應 該 要 從 世 界 上 消失 才 對,0.09090909090909091,0.09090909090909091,2.1
我 操 你 媽的 支那 賤畜,0.0,0.3333333333333333,0.55
牠們 可能 不知 道 言論 自由 的 意 思 吧,0.1,0.2,3.15
很 有 螂性 很 支那,0.0,0.0,0.0
幹 你 媽 中國 人 支那 豬,0.0,0.14285714285714285,0.0
kina 談 自由 如 太監 談 做愛,0.14285714285714285,0.0,1.4
中國 整 天 一 直 吠 就好 了,0.0,0.0,0.0
流氓 性 都 溢出 來 了,0.0,0.16666666666666666,0.6
因為 英國 是 法治 國 家 不像 貴國 想 把 人,0.09090909090909091,0.0,1.05
關 多久 就 關 多久,0.0,0.0,0.0
呵呵 中國 人 不意 外 噁,0.16666666666666666,0.16666666666666666,1.6
看來 中國 人 的 水 準真 的 提升 的 很 慢,0.09090909090909091,0.09090909090909091,2.1
支那 水 準真 是 不意 外 怎麼 有人 會 以 這 種 國 家,0.0,0.0,0.0
為傲 號 稱 中華 文化 呢 別 再 扯 什麼 中華,0.09090909090909091,0.0,1.5
神經病 糞國,0.0,0.5,0.44999999999999996
文化 在 臺灣 臺灣 不 是 中華 而是 一 個 民 主,0.0,0.0,0.0
自由 的 國 家 融 合 各 種 文化 別 再 拿 臺灣 來,0.07142857142857142,0.0,1.4
支那 品質,0.0,0.0,0.0
替 你們 中華 坦了 中華 就 是 個 被 八 國聯 軍 的,0.0,0.0,0.0
國際 笑話 當年 大概 也 是 這樣 弄到 各 國 不爽,0.09090909090909091,0.09090909090909091,1.65
瘋狂 的 國 家 養出 瘋狂 的 人民,0.0,0.25,1.7000000000000002
才 會 開戰,0.0,0.0,0.0
支那 水 準真 低 還 談 言論 自由 搞笑 嗎,0.2,0.0,2.775
笑死,1.0,0.0,1.1
有趣,1.0,0.0,1.5
本 世紀 最 大笑 話 支那 賤畜 懂 言論 自由,0.2,0.0,2.75
支那 賤畜 幹你娘 世 界 癌細胞,0.0,0.0,0.0
kina 痟仔,0.0,0.0,0.0
中國 人 愛 出國 享受 民 主 濫用 自由 在 國內,0.2727272727272727,0.09090909090909091,5.1
不能 有 異 聲,0.0,0.25,0.75
看 就 知道 中國 豬 真的 不知 道 什麼 叫 言論 自由,0.16666666666666666,0.08333333333333333,3.4
支人 說 英國 沒 民 主 wwww,0.0,0.0,0.0
這 很 中國,0.0,0.0,0.0
丟臉,0.0,1.0,0.5
笑死,1.0,0.0,1.1
賤畜 滾回 柵欄 裡 不要 出來 丟人現眼,0.0,0.2857142857142857,1.1
支那人 嘖嘖嘖,0.0,0.0,0.0
她 這 種 事 情 本來 就 沒有 嚴重 到 需要 拘留,0.0,0.25,2.0500000000000003
啊 中國 是 精神 勝利 哦,0.16666666666666666,0.0,1.7
真的 是 掌 刮 英國,0.0,0.0,0.0
支那 發 表意 見 瘋 狗 亂 咬 亂 打人 xdd,0.0,0.2727272727272727,1.7000000000000002
竟然 被 關放 認 證 厲害 了,0.14285714285714285,0.14285714285714285,2.525
官方,0.0,0.0,0.0
共產黨 最近 到處 在 國 外 搞 動亂 耶 台,0.1,0.1,2.1
灣 瑞典 英國,0.0,0.0,0.0
任何 都 上 升 到 辱華 看來 國內 很 需要,0.0,0.0,0.0
轉移 焦點 激化 民族 主 義,0.3333333333333333,0.0,2.6
這 叫 發 表意 見 共產黨 邏輯 真是 屌,0.1111111111111111,0.0,1.05
這麼 低級 的 行 為 還 叫好 中國 網友 有病,0.1,0.1,2.175
支那 賤種 在 國 外 這麼 囂張 就 應 該 宰 一 宰 丟,0.0,0.07142857142857142,0.575
海 裡,0.0,0.0,0.0
看到 支那 賤種 發病 就 是 像 對 畜牲 一樣 打 一,0.08333333333333333,0.16666666666666666,2.375
打 就 會 乖 了打 了 還 不 乖 就 只 能 說 你 打 的 太,0.0,0.11764705882352941,1.1
又 是 記 者 又 是 支那人 雙重 悲劇,0.0,0.1111111111111111,0.30000000000000004
支那 賤畜 丟人現眼,0.0,0.3333333333333333,0.35
支那人 談 民 主 xdddddddd,0.0,0.0,0.0
